viina_version,event_id_1pd,date,n_reports,event_ids,sources,geonameid,feature_code,asciiname,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,longitude,latitude,GEO_PRECISION,t_mil_b,a_rus_b,a_ukr_b,a_rus_init_b,a_ukr_init_b,a_civ_b,a_other_b,t_aad_b,t_airstrike_b,t_airalert_b,t_uav_b,t_armor_b,t_arrest_b,t_artillery_b,t_control_b,t_firefight_b,t_ied_b,t_raid_b,t_occupy_b,t_property_b,t_cyber_b,t_hospital_b,t_milcas_b,t_civcas_b,t_retreat_b,t_loc_b,t_san_b
bert_20250404023629,65061,20230101,1,106933,liveuamap,695005,PPL,Ryzhivka,Sumy,2356,Putyvl's'kyi,29596,34.264,51.27631,ADM3,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bert_20250404023629,55619,20230101,1,106934,liveuamap,693805,PPLA2,Simferopol,Crimea,579,Simferopol's'ka,34229,34.0994127132379,44.9536335,ADM3,1,0,1,,,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,61953,20230101,1,106935,liveuamap,694423,PPLA,Sevastopol,Sevastopol',2215,Lenins'kyi,20221,33.53079,44.61503,ADM1,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
bert_20250404023629,347089,20230101,1,106936,liveuamap,12089488,PPLX,Bahrynova Gora,Kiev City,1210,Holosiïvs'kyi,14450,30.53993,50.40414,ADM3,1,0,0,,,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,154148,20230101,1,106937,liveuamap,703448,PPLC,Kyiv,Kiev City,1210,Shevchenkivs'kyi,33738,30.52355,50.450441,ADM3,1,0,0,,,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,120231,20230101,1,106938,liveuamap,701502,PPL,Maiorka,Dnipropetrovs'k,650,Dnipropetrovs'kyi,9967,35.17822,48.26857,ADM3,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bert_20250404023629,192449,20230101,1,106939,liveuamap,706369,PPLA,Khmelnytskyy,Khmel'nyts'kyy,1196,Khmel'nyts'ka,17913,26.98616,49.42208,ADM1,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,193508,20230101,1,106940,liveuamap,706448,PPLA,Kherson,Kherson,1195,Khersons'ka,17890,32.62527,46.64024,ADM1,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bert_20250404023629,130028,20230101,1,106941,liveuamap,701932,PPL,Malyy Tokmak,Zaporizhzhya,2730,Tokmats'kyi,37511,35.70745,47.23449,ADM3,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,12367,20230101,1,106942,liveuamap,687700,PPLA,Zaporizhzhya,Zaporizhzhya,2730,Zaporiz'ka,41153,35.138851,47.838312,ADM3,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,40519,20230101,1,106943,liveuamap,691743,PPL,Telychka,Kiev City,1210,Holosiïvs'kyi,14450,30.5777,50.36474,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
