ADM1_NAME,ADM2_NAME,ADM2_CODE
Kiev City,Dniprovs'kyi,9968.0
Kiev City,Holosiïvs'kyi,14450.0
Kiev City,Obolons'kyi,26190.0
Kiev City,Shevchenkivs'kyi,33738.0
Kiev City,Sviatoshyns'kyi,35620.0
Kirovohrad,Dolyns'kyi,10083.0
Kirovohrad,Holovanivs'kyi,14451.0
Kirovohrad,Kirovohrads'kyi,18226.0
Kirovohrad,Kompani‹vs'kyi,18563.0
Kirovohrad,Malovyskivs'kyi,21621.0
Kirovohrad,Novoarkhanhel's'kyi,25886.0
Kirovohrad,Novomyrhorods'kyi,25914.0
Kirovohrad,Novoukra‹ns'kyi,25938.0
Kirovohrad,Oleksandriis'kyi,26476.0
Kirovohrad,Oleksandrivs'kyi,26477.0
Kirovohrad,Onufri‹vs'kyi,26646.0
Kirovohrad,Petrivs'kyi,28247.0
Kirovohrad,Svitlovods'kyi,35628.0
Kirovohrad,Ustynivs'kyi,38825.0
Kirovohrad,Znamians'kyi,41411.0
L'viv,Brodivs'kyi,5647.0
L'viv,Bus'kyi,6036.0
L'viv,Drohobyts'kyi,10334.0
L'viv,Horodots'kyi,14527.0
L'viv,Iavorivs'kyi,14834.0
L'viv,Kamianka-Buz'kyi,17064.0
L'viv,L'vivs'ka,19402.0
L'viv,Mostys'kyi,23765.0
L'viv,Mykola‹vs'kyi,24268.0
L'viv,Peremyshlians'kyi,28137.0
L'viv,Pustomytivs'kyi,29580.0
L'viv,Radekhivs'kyi,29890.0
L'viv,Sambirs'ka,31434.0
L'viv,Skolivs'kyi,34450.0
L'viv,Sokal's'kyi,34627.0
L'viv,Starosambirs'kyi,35094.0
L'viv,Stryis'kyi,35233.0
L'viv,Turkivs'kyi,38218.0
L'viv,Zhovkivs'kyi,41329.0
L'viv,Zhydachivs'kyi,41339.0
L'viv,Zolochivs'kyi,41422.0
Luhans'k,Alchevs'ka,1222.0
Luhans'k,Antratsytivs'kyi,1932.0
Luhans'k,Bilokurakyns'kyi,4620.0
Luhans'k,Bilovods'kyi,4624.0
Luhans'k,Briankivs'ka,5621.0
Luhans'k,Kirovs'ka,18227.0
Luhans'k,Krasnodons'ka,18924.0
Luhans'k,Krasnodons'kyi,18925.0
Luhans'k,Krasnoluts'ka,18939.0
Luhans'k,Kremins'kyi,18973.0
Luhans'k,Luhans'ka,20910.0
Luhans'k,Lutuhyns'kyi,21029.0
Luhans'k,Lysychans'ka,21080.0
Luhans'k,Milovs'kyi,23028.0
Luhans'k,Novoaidars'kyi,25882.0
Luhans'k,Novopskovs'kyi,25920.0
Luhans'k,Pereval's'kyi,28143.0
Luhans'k,Popasnians'kyi,28982.0
Luhans'k,Roven'kivs'ka,30816.0
Luhans'k,Rubezhans'ka,30854.0
Luhans'k,Sieverodonets'ka,34129.0
Luhans'k,Slovianoserbs'kyi,34510.0
Luhans'k,Stakhanivs'ka,35040.0
Luhans'k,Stanychno-Luhans'kyi,35060.0
Luhans'k,Starobil's'kyi,35084.0
Luhans'k,Svativs'kyi,35579.0
Luhans'k,Sverdlovs'ka,35597.0
Luhans'k,Sverdlovs'kyi,35598.0
Luhans'k,Tro‹ts'kyi,37901.0
Luhans'k,n.a. ( 182),24292.0
Mykolayiv,Arbuzyns'kyi,2177.0
Mykolayiv,Bashtans'kyi,3793.0
Mykolayiv,Berezans'kyi,4368.0
Mykolayiv,Bereznehuvats'kyi,4372.0
Mykolayiv,Domanivs'kyi,10102.0
Mykolayiv,Kazanetskyi,17599.0
