viina_version,event_id_1pd,date,n_reports,event_ids,sources,geonameid,feature_code,asciiname,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,longitude,latitude,GEO_PRECISION,t_mil_b,a_rus_b,a_ukr_b,a_rus_init_b,a_ukr_init_b,a_civ_b,a_other_b,t_aad_b,t_airstrike_b,t_airalert_b,t_uav_b,t_armor_b,t_arrest_b,t_artillery_b,t_control_b,t_firefight_b,t_ied_b,t_raid_b,t_occupy_b,t_property_b,t_cyber_b,t_hospital_b,t_milcas_b,t_civcas_b,t_retreat_b,t_loc_b,t_san_b,tid
bert_20260728024038,403728,20260101,1,2717253,unian,9114542,PPL,Novyi,Luhans'k,1405,Krasnoluts'ka,18939,38.59081,48.49995,ADM3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,345631,20260101,1,2717255,unian,712609,PPL,Bilka,Odessa,1800,Ivanivs'kyi,15842,30.40579,46.90822,ADM1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,46022
bert_20260728024038,221470,20260101,1,2717269,espreso,704422,PPLA2,Pokrovsk,Donets'k,655,Krasnoarmiis'kyi,18918,37.1756,48.28035,ADM3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,201670,20260101,1,2717270,espreso,703448,PPLC,Kyiv,Kiev City,1210,Shevchenkivs'kyi,33738,30.52355,50.45044,ADM3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,124569,20260101,1,2717271,espreso,699035,PPL,Novovolynsk,Volyn,2623,Ivanychivs'kyi,15852,24.17319,50.72382,STREET,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,345629,20260101,1,2717272,espreso,712609,PPL,Bilka,Odessa,1800,Ivanivs'kyi,15842,30.40579,46.90822,ADM1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,89655,20260101,1,2717273,espreso,695094,PPLX,Ruttschenkowo,Donets'k,655,Donets'ka,10139,37.67529,47.95508,ADM1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,328992,20260101,1,2717275,espreso,710771,PPL,Chorna Dolyna,Kherson,1195,Kakhovs'kyi,16943,33.48173,46.55783,ADM1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,73147,20260101,1,2717276,espreso,693805,PPLA2,Simferopol,Crimea,579,Simferopol's'ka,34229,34.09941,44.95363,ADM3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,271051,20260101,1,2717277,espreso,706483,PPLA,Kharkiv,Kharkiv,1191,Kharkivs'ka,17850,36.2312,49.99217,ADM3,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,46022
